box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper,mass_eigenvalue_lower,lambda3_lower,lambda3_gap_lower
6431,1,2.64490707306492823e-02,3,1.13425301110000000e+04,8.19135192609078899e+00,1.17342489370265550e+01,7.98307782828626133e-02,1.60000000000000000e+01,1.19559339836595768e+00
6471,1,1.63997909059958147e-01,2,1.14332949989999997e+04,8.56382699157826366e+00,1.12542663332126889e+01,1.05374283475836383e-01,1.60000000000000000e+01,1.19559339836595768e+00
6511,1,2.11129861412561866e+01,2,1.16332921459999998e+04,8.47002214433926959e+00,1.13825767075274680e+01,1.45794826843074127e-01,1.60000000000000000e+01,1.19559339836595768e+00
6551,1,6.57062482554661642e+00,1,1.16554111379999995e+04,8.16847988567503158e+00,1.18695394856765866e+01,9.06227768221827268e-02,1.60000000000000000e+01,1.19559339836595768e+00
6591,1,3.39116985292269177e+01,2,1.20143333669999993e+04,8.42609536379520208e+00,1.15409914052439664e+01,1.04897935826616662e-01,1.60000000000000000e+01,1.19559339836595768e+00
6631,1,7.36516579509631697e+00,1,1.20364411070000006e+04,8.40676998344280157e+00,1.14527379838532539e+01,1.49536164271185185e-01,1.60000000000000000e+01,1.19559339836595768e+00
6671,1,1.15944492679237499e+00,2,1.21476819799999994e+04,8.20872672359939948e+00,1.18618049912874746e+01,9.90935628975073701e-02,1.60000000000000000e+01,1.19559339836595768e+00
6711,1,1.17737526251813449e+01,1,1.21932921050000004e+04,8.22131779826875331e+00,1.18060273113149528e+01,1.12799304933701744e-01,1.60000000000000000e+01,1.19559339836595768e+00
6751,1,1.49911803899080098e+00,2,1.23450312639999993e+04,8.35008482050294099e+00,1.15281302900645155e+01,1.56303980326439967e-01,1.60000000000000000e+01,1.19559339836595768e+00
6791,1,3.51044052443211285e+00,2,1.24983784770000002e+04,8.23091567148920156e+00,1.18797768369000707e+01,1.06080448500476099e-01,1.60000000000000000e+01,1.19559339836595768e+00
