box_id,ok,inf_S,max_subdivision_depth,elapsed_seconds,lambda1_lower,lambda2_upper
2352,1,3.16617950309335967e+01,1,4.11490256200000022e+03,7.79429228942459318e+00,1.28840954039013891e+01
2400,1,3.75097884050687895e+01,0,4.12933646399999998e+03,7.78723195389077016e+00,1.29323720556722837e+01
2448,1,3.81664573484150083e+00,0,4.14375369700000010e+03,7.98411412637415907e+00,1.23377296597652872e+01
2496,1,4.34205259434941553e+01,0,4.15817183800000021e+03,7.82752832636667151e+00,1.28541946725700456e+01
2544,1,7.97698012956077918e+01,0,4.17255227800000011e+03,7.81598258693152204e+00,1.29277824891493793e+01
2592,1,4.81066692937066023e+01,0,4.18683159499999965e+03,8.01348688322856084e+00,1.23212841231318464e+01
2640,1,4.94130226110668360e+01,0,4.20111066099999971e+03,7.82401538043765221e+00,1.28484561132436959e+01
2688,1,7.52948886772045114e+01,0,4.21540918599999986e+03,7.81794610152361180e+00,1.29320758397497286e+01
2736,1,4.43056165838309752e+01,0,4.22970958700000028e+03,8.02013431344530581e+00,1.23253450619389255e+01
2784,1,4.04653042968416941e+01,1,4.26441173199999957e+03,7.79127994887951036e+00,1.28611094692710566e+01
2832,1,2.86943896297643590e+01,0,4.27874202799999966e+03,7.78874435612768767e+00,1.29483688055808752e+01
2880,1,2.97952776100614045e+01,1,4.31343351600000005e+03,7.99005470039759391e+00,1.23627736007252658e+01
2928,1,1.23102967206301059e+01,1,4.34812889999999970e+03,7.79597224567188984e+00,1.28095587708303054e+01
2976,1,2.94285558776498135e+01,1,4.38284158500000012e+03,7.79772902858559025e+00,1.28953365223695098e+01
3024,1,2.07796668654075560e+01,1,4.44181484499999988e+03,8.12827621852849980e+00,1.21863031532365902e+01
3072,1,6.36483663946805223e-01,1,4.47656214900000032e+03,7.83992795066278170e+00,1.26951627642589084e+01
3120,1,1.59131488242082426e+01,1,4.51126657799999975e+03,7.84575734330454910e+00,1.27760177134514414e+01
3168,1,7.96582626917642500e+00,1,4.57014932399999998e+03,8.15067354810355837e+00,1.21385757963813266e+01
3216,1,4.68425770415138487e+00,1,4.60505775199999971e+03,7.90697228895414828e+00,1.25435882879771885e+01
3264,1,1.64710334007441972e+01,1,4.63974078900000040e+03,7.91958911010320676e+00,1.26138998208411710e+01
3312,1,8.09466726220841792e+00,1,4.69858720799999992e+03,8.19375166678931954e+00,1.20667622492533901e+01
3360,1,1.72810171647316224e+01,1,4.73326050599999962e+03,7.99498334297135216e+00,1.23675168152129213e+01
3408,1,2.53796802812076763e+01,1,4.76786459800000011e+03,8.00139618874296943e+00,1.24385462892479772e+01
3456,1,1.65745861191165105e+01,1,4.82661656399999993e+03,8.25134472278315911e+00,1.19772384605911828e+01
3504,1,9.08697902319728357e+00,2,5.21944684200000029e+03,8.02480770133126953e+00,1.22623237184022678e+01
3552,1,4.69479409213443333e+00,1,5.25397821099999965e+03,8.04631632066053371e+00,1.23154732890050518e+01
3600,1,2.27594706581954753e+00,1,5.33304176399999960e+03,8.26027471910871824e+00,1.18932494725144906e+01
3648,1,2.75191948801586790e+01,1,5.41337728200000038e+03,8.21031399055013544e+00,1.19524789421438573e+01
3696,1,3.54616415828967675e+01,1,5.49336356599999999e+03,8.21312795383952654e+00,1.20248794533576238e+01
3744,1,5.77088802323160621e+00,1,5.57343076999999994e+03,8.30797738881017622e+00,1.17691959817662859e+01
3792,1,2.06284918420670209e+01,1,5.65380547399999978e+03,8.25858616534294399e+00,1.18149879591839042e+01
3840,1,2.78550949263287464e+01,1,5.73397750900000028e+03,8.25811070845401929e+00,1.18939066160039477e+01
3888,1,4.58169125058967097e+00,1,5.81403019700000004e+03,8.36867494772162601e+00,1.16415144818129264e+01
3936,1,2.51837788648599314e+01,2,6.20826079200000004e+03,8.16660666763544008e+00,1.18768049522861538e+01
3984,1,4.07699798396155444e-01,1,6.28727730700000029e+03,8.31933222263352512e+00,1.17612475631747735e+01
4032,1,3.17096854742276335e+00,1,6.36634190599999965e+03,8.44129486895682923e+00,1.15185340462968977e+01
4080,1,8.88833300781982416e-01,2,6.57933150500000011e+03,8.26564124904076181e+00,1.17121837580287931e+01
4128,1,6.24744229391175665e+00,1,6.61395341600000029e+03,8.26749885910416893e+00,1.18062015085319700e+01
4176,1,6.70042018707284370e+00,1,6.67265283400000044e+03,8.52002533984294352e+00,1.14110697880263707e+01
4224,1,1.07457368837638256e+01,0,6.68693937499999993e+03,8.37250224947472432e+00,1.15643541282781666e+01
4272,1,1.46101710425096094e+01,0,6.70122304199999962e+03,8.36048058035036235e+00,1.16694533736286470e+01
4320,1,5.29314927017752979e+00,0,6.71554708699999992e+03,8.47780977159658455e+00,1.14415991289076988e+01
4368,1,1.63899126353865441e+01,0,6.72984290299999975e+03,8.39584120869970008e+00,1.15279898292891048e+01
4416,1,2.25621664288823958e+01,0,6.74417598499999986e+03,8.38867731591838073e+00,1.16241005888286626e+01
4464,1,5.45731228872448071e+00,0,6.75849730799999998e+03,8.48431718165417159e+00,1.14332778702118372e+01
4512,1,2.72722802180715007e+00,1,6.79314542700000038e+03,8.28812835587319441e+00,1.16514607596247100e+01
4560,1,2.23934926046329252e+01,1,6.82785874100000001e+03,8.30188315965466117e+00,1.17237561113318325e+01
4608,1,7.38828625947622442e+00,1,6.88712604399999964e+03,8.53073464981837581e+00,1.13939019435462061e+01
4656,1,1.40384385244782557e+01,1,6.96644905899999958e+03,8.34547243933436711e+00,1.16072808344396865e+01
4704,1,3.64612300130067268e+00,1,7.02538480100000015e+03,8.34646084377468078e+00,1.16728129284478381e+01
4752,1,3.98308514483235498e+00,1,7.10496960800000033e+03,8.45516227925427799e+00,1.14950495680820470e+01
4800,1,5.72834961220154071e+00,1,7.18448139100000026e+03,8.27269972323615477e+00,1.17357451567456188e+01
4848,1,1.48770839660558352e+01,1,7.26362121699999989e+03,8.27847842129629186e+00,1.17891751815204735e+01
4896,1,8.72441712165880290e+00,1,7.34391186199999993e+03,8.38486734095298836e+00,1.16137158131384854e+01
4944,1,1.15039462953979452e+01,1,7.42323907899999995e+03,8.22027637835960157e+00,1.18687310822628938e+01
4992,1,6.28786659686443272e+00,1,7.48219512099999974e+03,8.22797158103162829e+00,1.19140213325977360e+01
5040,1,1.08389200873550493e+01,1,7.56283654699999988e+03,8.32557500793407357e+00,1.17387596544415516e+01
5088,1,7.31818619950750104e+00,2,7.95513878399999976e+03,8.01994957814686416e+00,1.21838200410423614e+01
5136,1,1.30696502766728031e+01,1,7.98994883399999981e+03,8.05045058036097494e+00,1.22082356200884448e+01
5184,1,4.85902862761272303e+00,1,8.06955139899999995e+03,8.27803978781274452e+00,1.18616512812041961e+01
5232,1,2.88160944157536321e+01,1,8.15029794399999992e+03,8.16833074843006557e+00,1.21235206236847652e+01
5280,1,1.61860397838533672e+01,1,8.18504523499999959e+03,8.04654772939634100e+00,1.22793712256754226e+01
